Airport,Initial_z_score,Delay_Score,Datetime
ATL,0,0.0,2023-06-01 00:00:00
AUS,0,0.0,2023-06-01 00:00:00
BNA,0,0.0,2023-06-01 00:00:00
BOS,0,0.0,2023-06-01 00:00:00
BWI,0,0.0,2023-06-01 00:00:00
CLT,0,0.0,2023-06-01 00:00:00
DCA,0,0.0,2023-06-01 00:00:00
DEN,0,0.0,2023-06-01 00:00:00
DFW,0,0.0,2023-06-01 00:00:00
DTW,0,0.0,2023-06-01 00:00:00
EWR,0,0.0,2023-06-01 00:00:00
FLL,0,0.0,2023-06-01 00:00:00
IAD,0,0.0,2023-06-01 00:00:00
IAH,0,0.0,2023-06-01 00:00:00
JFK,0,0.0,2023-06-01 00:00:00
LAS,0,0.0,2023-06-01 00:00:00
LAX,0,0.0,2023-06-01 00:00:00
LGA,0,0.0,2023-06-01 00:00:00
MCO,0,0.0,2023-06-01 00:00:00
MDW,0,0.0,2023-06-01 00:00:00
MIA,0,0.0,2023-06-01 00:00:00
MSP,0,0.0,2023-06-01 00:00:00
ORD,0,0.0,2023-06-01 00:00:00
PHL,0,0.0,2023-06-01 00:00:00
PHX,0,0.0,2023-06-01 00:00:00
SAN,0,0.0,2023-06-01 00:00:00
SEA,0,0.0,2023-06-01 00:00:00
SFO,0,0.0,2023-06-01 00:00:00
SLC,0,0.0,2023-06-01 00:00:00
TPA,0,0.0,2023-06-01 00:00:00
ATL,0,0.0,2023-06-01 01:00:00
AUS,0,0.0,2023-06-01 01:00:00
BNA,0,0.0,2023-06-01 01:00:00
BOS,0,0.0,2023-06-01 01:00:00
BWI,0,0.0,2023-06-01 01:00:00
CLT,0,0.0,2023-06-01 01:00:00
DCA,0,0.0,2023-06-01 01:00:00
DEN,0,0.0,2023-06-01 01:00:00
DFW,0,0.0,2023-06-01 01:00:00
DTW,0,0.0,2023-06-01 01:00:00
EWR,0,0.0,2023-06-01 01:00:00
FLL,0,0.0,2023-06-01 01:00:00
IAD,0,0.0,2023-06-01 01:00:00
IAH,0,0.0,2023-06-01 01:00:00
JFK,0,0.0,2023-06-01 01:00:00
LAS,0,0.0,2023-06-01 01:00:00
LAX,0,0.0,2023-06-01 01:00:00
LGA,0,0.0,2023-06-01 01:00:00
MCO,0,0.0,2023-06-01 01:00:00
MDW,0,0.0,2023-06-01 01:00:00
MIA,0,0.0,2023-06-01 01:00:00
MSP,0,0.0,2023-06-01 01:00:00
ORD,0,0.0,2023-06-01 01:00:00
PHL,0,0.0,2023-06-01 01:00:00
PHX,0,0.0,2023-06-01 01:00:00
SAN,0,0.0,2023-06-01 01:00:00
SEA,0,0.0,2023-06-01 01:00:00
SFO,0,0.0,2023-06-01 01:00:00
SLC,0,0.0,2023-06-01 01:00:00
TPA,0,0.0,2023-06-01 01:00:00
ATL,0,0.0,2023-06-01 02:00:00
AUS,0,0.0,2023-06-01 02:00:00
BNA,0,0.0,2023-06-01 02:00:00
BOS,0,0.0,2023-06-01 02:00:00
BWI,0,0.0,2023-06-01 02:00:00
CLT,0,0.0,2023-06-01 02:00:00
DCA,0,0.0,2023-06-01 02:00:00
DEN,0,0.0,2023-06-01 02:00:00
DFW,0,0.0,2023-06-01 02:00:00
DTW,0,0.0,2023-06-01 02:00:00
EWR,0,0.0,2023-06-01 02:00:00
FLL,0,0.0,2023-06-01 02:00:00
IAD,0,0.0,2023-06-01 02:00:00
IAH,0,0.0,2023-06-01 02:00:00
JFK,0,0.0,2023-06-01 02:00:00
LAS,0,0.0,2023-06-01 02:00:00
LAX,0,0.0,2023-06-01 02:00:00
LGA,0,0.0,2023-06-01 02:00:00
MCO,0,0.0,2023-06-01 02:00:00
MDW,0,0.0,2023-06-01 02:00:00
MIA,0,0.0,2023-06-01 02:00:00
MSP,0,0.0,2023-06-01 02:00:00
ORD,0,0.0,2023-06-01 02:00:00
PHL,0,0.0,2023-06-01 02:00:00
PHX,0,0.0,2023-06-01 02:00:00
SAN,0,0.0,2023-06-01 02:00:00
SEA,0,0.0,2023-06-01 02:00:00
SFO,0,0.0,2023-06-01 02:00:00
SLC,0,0.0,2023-06-01 02:00:00
TPA,0,0.0,2023-06-01 02:00:00
ATL,0,0.0,2023-06-01 03:00:00
AUS,0,0.0,2023-06-01 03:00:00
BNA,0,0.0,2023-06-01 03:00:00
BOS,0,0.0,2023-06-01 03:00:00
BWI,0,0.0,2023-06-01 03:00:00
CLT,0,0.0,2023-06-01 03:00:00
DCA,0,0.0,2023-06-01 03:00:00
DEN,0,0.0,2023-06-01 03:00:00
DFW,0,0.0,2023-06-01 03:00:00
DTW,0,0.0,2023-06-01 03:00:00
EWR,0,0.0,2023-06-01 03:00:00
FLL,0,0.0,2023-06-01 03:00:00
IAD,0,0.0,2023-06-01 03:00:00
IAH,0,0.0,2023-06-01 03:00:00
JFK,0,0.0,2023-06-01 03:00:00
LAS,0,0.0,2023-06-01 03:00:00
LAX,0,0.0,2023-06-01 03:00:00
LGA,0,0.0,2023-06-01 03:00:00
MCO,0,0.0,2023-06-01 03:00:00
MDW,0,0.0,2023-06-01 03:00:00
MIA,0,0.0,2023-06-01 03:00:00
MSP,0,0.0,2023-06-01 03:00:00
ORD,0,0.0,2023-06-01 03:00:00
PHL,0,0.0,2023-06-01 03:00:00
PHX,0,0.0,2023-06-01 03:00:00
SAN,0,0.0,2023-06-01 03:00:00
SEA,0,0.0,2023-06-01 03:00:00
SFO,0,0.0,2023-06-01 03:00:00
SLC,0,0.0,2023-06-01 03:00:00
TPA,0,0.0,2023-06-01 03:00:00
ATL,0,0.0,2023-06-01 04:00:00
AUS,0,0.0,2023-06-01 04:00:00
BNA,0,0.0,2023-06-01 04:00:00
BOS,0,0.0,2023-06-01 04:00:00
BWI,0,0.0,2023-06-01 04:00:00
CLT,0,0.0,2023-06-01 04:00:00
DCA,0,0.0,2023-06-01 04:00:00
DEN,0,0.0,2023-06-01 04:00:00
DFW,0,0.0,2023-06-01 04:00:00
DTW,0,0.0,2023-06-01 04:00:00
EWR,0,0.0,2023-06-01 04:00:00
FLL,0,0.0,2023-06-01 04:00:00
IAD,0,0.0,2023-06-01 04:00:00
IAH,0,0.0,2023-06-01 04:00:00
JFK,0,0.0,2023-06-01 04:00:00
LAS,0,0.0,2023-06-01 04:00:00
LAX,0,0.0,2023-06-01 04:00:00
LGA,0,0.0,2023-06-01 04:00:00
MCO,0,0.0,2023-06-01 04:00:00
MDW,0,0.0,2023-06-01 04:00:00
MIA,0,0.0,2023-06-01 04:00:00
MSP,0,0.0,2023-06-01 04:00:00
ORD,0,0.0,2023-06-01 04:00:00
PHL,0,0.0,2023-06-01 04:00:00
PHX,0,0.0,2023-06-01 04:00:00
SAN,0,0.0,2023-06-01 04:00:00
SEA,0,0.0,2023-06-01 04:00:00
SFO,0,0.0,2023-06-01 04:00:00
SLC,0,0.0,2023-06-01 04:00:00
TPA,0,0.0,2023-06-01 04:00:00
ATL,0,0.0,2023-06-01 05:00:00
AUS,0,0.0,2023-06-01 05:00:00
BNA,0,0.0,2023-06-01 05:00:00
BOS,0,0.0,2023-06-01 05:00:00
BWI,0,0.0,2023-06-01 05:00:00
CLT,0,0.0,2023-06-01 05:00:00
DCA,0,0.0,2023-06-01 05:00:00
DEN,0,0.0,2023-06-01 05:00:00
DFW,0,0.0,2023-06-01 05:00:00
DTW,0,0.0,2023-06-01 05:00:00
EWR,0,0.0,2023-06-01 05:00:00
FLL,0,0.0,2023-06-01 05:00:00
IAD,0,0.0,2023-06-01 05:00:00
IAH,0,0.0,2023-06-01 05:00:00
JFK,0,0.0,2023-06-01 05:00:00
LAS,0,0.0,2023-06-01 05:00:00
LAX,0,0.0,2023-06-01 05:00:00
LGA,0,0.0,2023-06-01 05:00:00
